date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:33	112/112	---MCZ	200	added ('OK')	text/plain	etag:%22155-1758556530;gz%22	https://willowvibe.com/robots.txt		(from )
15:20:33	165227/165227	---MCZ	200	added ('OK')	text/html	etag:%22151-1758527323;gz%22	https://willowvibe.com/	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/index.html	(from )
15:20:34	16534/16534	---M-Z	200	added ('OK')	text/css	etag:%224096-65cf9e0f-acaa7d7e7d31f29;gz%22	https://willowvibe.com/wp-includes/blocks/navigation/style.min.css?ver=6.4.6	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/wp-includes/blocks/navigation/style.mina8d6.css	(from https://willowvibe.com/)
15:20:34	6979/6979	---M-Z	200	added ('OK')	text/css	etag:%221b43-65cf9e0f-117e08bad8c3fa1f;gz%22	https://willowvibe.com/wp-includes/blocks/image/style.min.css?ver=6.4.6	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/wp-includes/blocks/image/style.mina8d6.css	(from https://willowvibe.com/)
15:20:34	18487/18487	---M-Z	200	added ('OK')	text/css	etag:%224837-65cf9e0f-2bf801432a40715d;gz%22	https://willowvibe.com/wp-includes/blocks/cover/style.min.css?ver=6.4.6	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/wp-includes/blocks/cover/style.mina8d6.css	(from https://willowvibe.com/)
15:20:35	10241/10241	---M-Z	200	added ('OK')	text/css	etag:%222801-65cf9e0f-ecca7818d4684f2b;gz%22	https://willowvibe.com/wp-includes/blocks/social-links/style.min.css?ver=6.4.6	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/wp-includes/blocks/social-links/style.mina8d6.css	(from https://willowvibe.com/)
15:20:35	80163/80163	---M-Z	200	added ('OK')	text/css	etag:%2213923-68cd4743-8be397c10ece0cfc;gz%22	https://willowvibe.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.5.2	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend16b9.css	(from https://willowvibe.com/)
15:20:35	1668/1668	---MCZ	200	added ('OK')	application/rss+xml	etag:%22f726e0a7a1f5de95c6147babe0d74d6e%22	https://willowvibe.com/comments/feed/	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/comments/feed/index.html	(from https://willowvibe.com/)
15:20:35	1888/1888	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f726e0a7a1f5de95c6147babe0d74d6e%22	https://willowvibe.com/feed/	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/feed/index.html	(from https://willowvibe.com/)
15:20:36	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-66a2c8db-6663b5f345de2c1d;gz%22	https://willowvibe.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.8	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/wp-content/plugins/contact-form-7/includes/css/stylese2db.css	(from https://willowvibe.com/)
15:20:36	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-68cd4743-cd309f1b6cc2b4d5;gz%22	https://willowvibe.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.5.2	C:/My%20Web%20Sites/willowvibe-website/willowvibe.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor16b9.css	(from https://willowvibe.com/)
